id,year,inCitations,author_id,author_name
a5c3bcb57977b1b53aaf1a5798455fa21b709cc9,2013,0,2563460,Walter Rubio
a5c3bcb57977b1b53aaf1a5798455fa21b709cc9,2013,0,2672126,Benoît Furet
a9a82747bcdcd51c54092a241ea5bbce2d7c97b5,2014,4,4672028,Qi Zhang
a9a82747bcdcd51c54092a241ea5bbce2d7c97b5,2014,4,1801400,Meizhu Li
a9a82747bcdcd51c54092a241ea5bbce2d7c97b5,2014,4,1773439,Yong Deng
a9a82747bcdcd51c54092a241ea5bbce2d7c97b5,2014,4,1810008,Sankaran Mahadevan
a9d62327382c4c75b4e5e0cf9f659d8512e8b180,2013,6,1701872,Primoz Skraba
a9d62327382c4c75b4e5e0cf9f659d8512e8b180,2013,6,1809619,Mikael Vejdemo-Johansson
a9f76180fe5b5a6e45cd0110adf45c1a37779c3d,2010,15,1714741,Xi Chen
a9f76180fe5b5a6e45cd0110adf45c1a37779c3d,2010,15,1687352,Qihang Lin
a9f76180fe5b5a6e45cd0110adf45c1a37779c3d,2010,15,1692950,Seyoung Kim
a9f76180fe5b5a6e45cd0110adf45c1a37779c3d,2010,15,3325387,Javier Peña
a9f76180fe5b5a6e45cd0110adf45c1a37779c3d,2010,15,1707929,Jaime G. Carbonell
a9f76180fe5b5a6e45cd0110adf45c1a37779c3d,2010,15,1752601,Eric P. Xing
abfd41100f15ba5192fc9a84ae49e8d3128b4d63,2008,0,2414936,Marco Kuhlmann
ac0990f7a063a02222982f798be4bfa206728df2,2016,0,1821027,Ferhat Özgür Çatak
ac19582c342feb60ba8dc48e8d83e2db2c840d5e,2016,0,1765894,Travis Gagie
ac19582c342feb60ba8dc48e8d83e2db2c840d5e,2016,0,1692952,Giovanni Manzini
ade28d0d4d3d7c7ba86cb3d1f1be97830af72613,2008,0,2873658,K. Vishnu Vardhan
ade28d0d4d3d7c7ba86cb3d1f1be97830af72613,2008,0,2126463,Saif K. Mohammed
ade28d0d4d3d7c7ba86cb3d1f1be97830af72613,2008,0,1771676,Ananthanarayanan Chockalingam
ade28d0d4d3d7c7ba86cb3d1f1be97830af72613,2008,0,1739343,B. Sundar Rajan
af16e5a64c9cdfd4e726f624e59c1677da1cbea5,2011,0,7870592,Yuming Xu
afa638d5f6ec4324f5a65dfdb8ff7088660dac48,2010,5,1778058,Raphael Yuster
afa985aee8fdc9538a9a4be9134ed38172d2bf1f,2012,2,1712992,Stepan Holub
b095b3d25e251cb8bce19fc583804cec67ac132b,2012,2,2022793,Sean Chester
b095b3d25e251cb8bce19fc583804cec67ac132b,2012,2,2235640,Alex Thomo
b095b3d25e251cb8bce19fc583804cec67ac132b,2012,2,1958659,S. Venkatesh
b095b3d25e251cb8bce19fc583804cec67ac132b,2012,2,1746309,Sue Whitesides
b1484f48c2c1a62b7077d1db2cc10a55a6a43a9a,2015,0,2016541,Tapas Kumar Mishra
b1484f48c2c1a62b7077d1db2cc10a55a6a43a9a,2015,0,1803487,Sudebkumar Prasant Pal
b16559d6105d07243eec003c00b5fa587c1dca33,2010,1,3487628,Venkatreddy Dwarampudi
b16559d6105d07243eec003c00b5fa587c1dca33,2010,1,3478838,Shahbaz Singh Dhillon
b16559d6105d07243eec003c00b5fa587c1dca33,2010,1,3487223,Jivitesh Shah
b16559d6105d07243eec003c00b5fa587c1dca33,2010,1,3472456,Nikhil Joseph Sebastian
b16559d6105d07243eec003c00b5fa587c1dca33,2010,1,3482721,Nitin Kanigicharla
b1cb867270f87f96397cb5f0d76cbb58cdf2c2f2,2016,0,1756074,Hagen Soltau
b1cb867270f87f96397cb5f0d76cbb58cdf2c2f2,2016,0,2719783,Hank Liao
b1cb867270f87f96397cb5f0d76cbb58cdf2c2f2,2016,0,2670103,Hasim Sak
b25166dc79d62de4a34db31cd6391d0e685e0f66,2016,0,2949656,Andrew Schaumberg
b25166dc79d62de4a34db31cd6391d0e685e0f66,2016,0,3897131,Angela Yu
b25166dc79d62de4a34db31cd6391d0e685e0f66,2016,0,2660730,Tatsuhiro Koshi
b25166dc79d62de4a34db31cd6391d0e685e0f66,2016,0,2796255,Xiaochan Zong
b25166dc79d62de4a34db31cd6391d0e685e0f66,2016,0,1926141,Santoshkalyan Rayadhurgam
b27f1961ed94c98791098842dd9774f527412ced,2014,4,2379229,Muhammad Taimoor Khan
b27f1961ed94c98791098842dd9774f527412ced,2014,4,1757088,Dimitrios N. Serpanos
b27f1961ed94c98791098842dd9774f527412ced,2014,4,1716356,Howard E. Shrobe
b5374bbc6a81e200a3300d8e9c35644b22f6a75e,2014,2,1687446,Zhijian Wang
b5374bbc6a81e200a3300d8e9c35644b22f6a75e,2014,2,3448336,Bin Xu
b846314e67c660a385e07140b8c4ac2390fbda97,2013,0,1696660,Martin Rötteler
b846314e67c660a385e07140b8c4ac2390fbda97,2013,0,1718918,Rainer Steinwandt
ba778455d65cd76f0304300e28ca80ed5afab5ca,2015,1,2423256,WenSen Feng
ba778455d65cd76f0304300e28ca80ed5afab5ca,2015,1,3206474,Yunjin Chen
baf07579a28c22041bf171bc01a825bcc672153c,2016,0,7862073,Karan Jani
bce4ffe91f7abbeff9f66c3b91ee3a560ee72515,2015,0,3422254,Dalila Attaf
bce4ffe91f7abbeff9f66c3b91ee3a560ee72515,2015,0,2147863,Djamila Hamdadou
bce4ffe91f7abbeff9f66c3b91ee3a560ee72515,2015,0,2783720,Sidahmed Benabderrahmane
